merges,n_embed,n_heads,n_layers,lr,dropout,weight_decay,scheduler,vocab_size,model_size,val_ppl,train_ppl,val_loss,train_loss,epochs,ckpt_best,ckpt_last,full_config_file,run
200,128,2,8,0.0003,0.2,0.0001,cosine_warmup,460,1709184,17.20370864868164,19.354015350341797,2.84512500963713,2.962900033383214,30,../checkpoints/GPT/hparams_search/best_hps_250827_094245_6a1e5319.pt,../checkpoints/GPT/hparams_search/last_hps_250827_094245_6a1e5319.pt,../checkpoints/GPT/hparams_search/hps_250827_094245_6a1e5319_hparams.json,hps_250827_094245_6a1e5319
200,128,2,4,0.0003,0.2,0.0001,cosine_warmup,460,921728,18.232933044433594,21.198087692260742,2.9032294343647203,3.0539109744484114,30,../checkpoints/GPT/hparams_search/best_hps_250827_094152_94c0f50e.pt,../checkpoints/GPT/hparams_search/last_hps_250827_094152_94c0f50e.pt,../checkpoints/GPT/hparams_search/hps_250827_094152_94c0f50e_hparams.json,hps_250827_094152_94c0f50e
200,128,4,4,0.0003,0.2,0.0001,cosine_warmup,460,921728,18.261554718017578,20.9049129486084,2.904825423391242,3.039984292913812,30,../checkpoints/GPT/hparams_search/best_hps_250827_094451_d3927119.pt,../checkpoints/GPT/hparams_search/last_hps_250827_094451_d3927119.pt,../checkpoints/GPT/hparams_search/hps_250827_094451_d3927119_hparams.json,hps_250827_094451_d3927119
200,128,8,4,0.0003,0.2,0.0001,cosine_warmup,460,921728,18.513662338256836,20.973041534423828,2.918509023565995,3.0432379609277445,30,../checkpoints/GPT/hparams_search/best_hps_250827_094759_7b957a0a.pt,../checkpoints/GPT/hparams_search/last_hps_250827_094759_7b957a0a.pt,../checkpoints/GPT/hparams_search/hps_250827_094759_7b957a0a_hparams.json,hps_250827_094759_7b957a0a
200,128,4,2,0.0003,0.2,0.0001,cosine_warmup,460,528000,18.846885681152344,22.13195037841797,2.9366528641550165,3.097022394527271,30,../checkpoints/GPT/hparams_search/best_hps_250827_094417_ad1fd8e4.pt,../checkpoints/GPT/hparams_search/last_hps_250827_094417_ad1fd8e4.pt,../checkpoints/GPT/hparams_search/hps_250827_094417_ad1fd8e4_hparams.json,hps_250827_094417_ad1fd8e4
200,128,2,2,0.0003,0.2,0.0001,cosine_warmup,460,528000,18.991901397705078,22.576332092285156,2.944012579666941,3.116902153825409,30,../checkpoints/GPT/hparams_search/best_hps_250827_094119_2d8e0ac2.pt,../checkpoints/GPT/hparams_search/last_hps_250827_094119_2d8e0ac2.pt,../checkpoints/GPT/hparams_search/hps_250827_094119_2d8e0ac2_hparams.json,hps_250827_094119_2d8e0ac2
200,128,8,2,0.0003,0.2,0.0001,cosine_warmup,460,528000,19.214956283569336,22.17009162902832,2.9556888781095805,3.098744114616065,30,../checkpoints/GPT/hparams_search/best_hps_250827_094723_bfe11d18.pt,../checkpoints/GPT/hparams_search/last_hps_250827_094723_bfe11d18.pt,../checkpoints/GPT/hparams_search/hps_250827_094723_bfe11d18_hparams.json,hps_250827_094723_bfe11d18
800,256,2,8,0.0003,0.2,0.0001,cosine_warmup,1060,6871296,22.008773803710938,20.74727439880371,3.091441180254962,3.032414934230968,30,../checkpoints/GPT/hparams_search/best_hps_250827_103351_be76fdf0.pt,../checkpoints/GPT/hparams_search/last_hps_250827_103351_be76fdf0.pt,../checkpoints/GPT/hparams_search/hps_250827_103351_be76fdf0_hparams.json,hps_250827_103351_be76fdf0
800,256,4,8,0.0003,0.2,0.0001,cosine_warmup,1060,6871296,22.5255184173584,20.716510772705078,3.114648808659734,3.0309309822805086,30,../checkpoints/GPT/hparams_search/best_hps_250827_103939_e0ee6d9a.pt,../checkpoints/GPT/hparams_search/last_hps_250827_103939_e0ee6d9a.pt,../checkpoints/GPT/hparams_search/hps_250827_103939_e0ee6d9a_hparams.json,hps_250827_103939_e0ee6d9a
800,256,2,4,0.0003,0.2,0.0001,cosine_warmup,1060,3723520,22.779258728027344,22.117069244384766,3.1258504300504115,3.0963497669720113,30,../checkpoints/GPT/hparams_search/best_hps_250827_103210_b080f608.pt,../checkpoints/GPT/hparams_search/last_hps_250827_103210_b080f608.pt,../checkpoints/GPT/hparams_search/hps_250827_103210_b080f608_hparams.json,hps_250827_103210_b080f608
